City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Monrovia,LR,75.25,broken clouds,6.3005,-10.7969,Sunset Inn
1,Lompoc,US,87.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
7,Mayo,US,84.15,clear sky,38.8876,-76.5119,Resorts Resource Group International
14,Iracoubo,GF,77.88,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
23,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
26,Fare,PF,78.98,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
27,Coahuayana,MX,81.39,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
30,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
31,San Cristobal,VE,75.38,few clouds,7.7669,-72.225,Pirineos
36,Alcudia,ES,81.19,clear sky,39.8532,3.1214,Zafiro Tropic
39,Kavaratti,IN,81.12,overcast clouds,10.5669,72.642,Green leaf
41,College,US,77.0,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
45,Turayf,SA,80.85,clear sky,31.6725,38.6637,Turaif
53,Paungde,MM,81.84,light rain,18.4833,95.5,Shwe Eain Matt highly cool guest house
56,Bull Savanna,JM,78.55,few clouds,17.8868,-77.5902,Big Red's
57,San Antonio Del Monte,SV,85.95,light rain,13.7164,-89.7383,Hotel Plaza
59,Atuona,PF,76.95,few clouds,-9.8,-139.0333,Villa Enata
71,Biak,ID,78.84,overcast clouds,-0.9131,122.8766,Penginapan Kim
72,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
74,Bethel,US,80.96,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
76,Buala,SB,85.64,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
77,Hithadhoo,MV,80.37,moderate rain,-0.6,73.0833,Scoop Guest House
79,Victoria,HK,87.85,light rain,22.2855,114.1577,Mini Central
80,Hamilton,US,76.05,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
86,Zhoucheng,CN,82.2,clear sky,35.9122,116.3117,Yingbin Restaurant
88,Ishigaki,JP,84.33,light intensity shower rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
89,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
90,Naze,JP,83.32,light rain,28.3667,129.4833,Shishime Hotel
91,Sibolga,ID,79.25,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
95,Marawi,PH,75.15,overcast clouds,7.9986,124.2928,Derogongan Residence
97,Tecoanapa,MX,82.35,overcast clouds,16.5167,-98.75,Hotel Manglares
99,Qui Nhon,VN,84.27,scattered clouds,13.7667,109.2333,Seagull Hotel
104,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
110,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
116,Hilo,US,87.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
122,Butaritari,KI,81.0,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
132,Chambas,CU,77.56,scattered clouds,22.1928,-78.9136,
133,Barcelos,PT,80.85,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
137,Berdigestyakh,RU,79.18,few clouds,62.0989,126.6992,
141,Merrillville,US,78.21,clear sky,41.4828,-87.3328,Hilton Garden Inn Merrillville
145,Faanui,PF,79.23,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
147,Contamana,PE,76.68,clear sky,-7.3333,-75.0167,Shiringal Touristic Park
148,Waingapu,ID,81.75,clear sky,-9.6567,120.2641,Pondok Wisata Elim
153,Batticaloa,LK,78.57,light rain,7.7102,81.6924,Grand Star Guest House
154,Seoul,KR,83.8,light rain,37.5683,126.9778,LOTTE HOTEL SEOUL
158,Salinopolis,BR,78.6,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
159,Kieta,PG,85.33,light rain,-6.2167,155.6333,Uruna Bay Retreat
161,Longyan,CN,86.88,clear sky,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
163,Mogadishu,SO,75.45,overcast clouds,2.0371,45.3438,Hotel Juba
164,Sorong,ID,81.03,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
167,Bengkulu,ID,76.78,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
170,Morros,BR,75.54,few clouds,-9.4467,-46.3003,
173,Sakakah,SA,89.17,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
174,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
175,Tukrah,LY,78.85,clear sky,32.5341,20.5791,Lagrota restaurant
176,Kavieng,PG,84.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
178,Santa Rosa,PH,86.02,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
180,Nha Trang,VN,84.2,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
185,Sur,OM,84.43,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
186,Topeka,US,79.57,few clouds,39.0483,-95.678,Hotel Topeka At City Center
187,Gumdag,TM,79.57,clear sky,39.2061,54.5906,
192,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
197,Kaohsiung,TW,87.04,broken clouds,22.6163,120.3133,御宿商旅-中山館
198,Camacari,BR,76.77,clear sky,-12.6975,-38.3242,Sítio Blasi
200,Grafton,US,75.87,clear sky,42.207,-71.6856,The Grafton Inn
204,Ko Samui,TH,82.31,few clouds,9.5357,99.9357,The Passage
206,Bandarbeyla,SO,75.6,broken clouds,9.4942,50.8122,JABIR HOTEL
208,Jacqueville,CI,75.43,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
209,Gushikawa,JP,81.99,heavy intensity rain,26.3544,127.8686,Kirari Guest House
210,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
214,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
