City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Monrovia,LR,6.3005,-10.7969,75.25,75,70,6.73,broken clouds
1,Lompoc,US,34.6391,-120.4579,87.01,72,0,13.8,clear sky
2,Kuvshinovo,RU,57.0295,34.1725,48.45,88,18,3.4,few clouds
3,Dikson,RU,73.5069,80.5464,41.36,94,100,9.69,overcast clouds
4,Kruisfontein,ZA,-34.0033,24.7314,49.46,81,88,12.64,light rain
5,Rikitea,PF,-23.1203,-134.9692,72.7,75,5,15.61,clear sky
6,Ushuaia,AR,-54.8,-68.3,44.26,61,40,13.8,scattered clouds
7,Mayo,US,38.8876,-76.5119,84.15,73,0,3.44,clear sky
8,Barrow,US,71.2906,-156.7887,35.62,87,100,6.91,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,41.11,70,0,21.85,clear sky
10,Beringovskiy,RU,63.05,179.3167,51.91,67,100,5.95,overcast clouds
11,Fort Nelson,CA,58.8053,-122.7002,69.39,56,75,0.0,broken clouds
12,Tiksi,RU,71.6872,128.8694,50.52,72,100,3.51,overcast clouds
13,Kodiak,US,57.79,-152.4072,62.11,77,100,9.22,overcast clouds
14,Iracoubo,GF,5.4802,-53.2011,77.88,86,96,8.7,overcast clouds
15,Santiago De Cao,PE,-7.9589,-79.2392,60.93,88,100,10.36,fog
16,Nikolskoye,RU,59.7035,30.7861,55.8,97,4,4.72,clear sky
17,Pitimbu,BR,-7.4706,-34.8086,73.99,89,100,8.05,light rain
18,Tuktoyaktuk,CA,69.4541,-133.0374,46.4,71,75,4.61,broken clouds
19,Saskylakh,RU,71.9167,114.0833,54.01,95,100,9.8,moderate rain
20,Puerto Ayora,EC,-0.7393,-90.3518,71.55,89,60,7.0,broken clouds
21,Bredasdorp,ZA,-34.5322,20.0403,44.96,87,16,5.14,few clouds
22,Amazar,RU,53.858,120.875,69.55,79,100,3.8,overcast clouds
23,Georgetown,MY,5.4112,100.3354,82.89,93,20,3.44,few clouds
24,Anadyr,RU,64.75,177.4833,59.5,55,20,6.71,few clouds
25,Cape Town,ZA,-33.9258,18.4232,50.11,94,75,3.44,light rain
26,Fare,PF,-16.7,-151.0167,78.98,70,0,22.82,clear sky
27,Coahuayana,MX,18.7333,-103.6833,81.39,79,100,1.81,overcast clouds
28,Ribeira Grande,PT,38.5167,-28.7,73.9,70,15,0.43,few clouds
29,Colotlan,MX,22.1,-103.2667,70.2,69,100,1.36,overcast clouds
30,Vaini,TO,-21.2,-175.2,80.76,83,40,11.5,scattered clouds
31,San Cristobal,VE,7.7669,-72.225,75.38,93,20,3.27,few clouds
32,Hermanus,ZA,-34.4187,19.2345,45.81,70,58,5.64,light rain
33,Lagoa,PT,39.05,-27.9833,72.59,71,0,5.97,clear sky
34,Nanortalik,GL,60.1432,-45.2371,44.17,89,94,3.74,overcast clouds
35,Matagami,CA,49.7502,-77.6328,68.11,77,100,3.44,overcast clouds
36,Alcudia,ES,39.8532,3.1214,81.19,57,3,3.49,clear sky
37,Ponta Do Sol,PT,32.6667,-17.1,73.0,84,7,6.22,clear sky
38,Trelew,AR,-43.249,-65.3051,44.89,54,100,6.58,overcast clouds
