City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint George,US,2022-07-29 09:47:18,37.1041,-113.5841,78.64,62,0,3.44
1,Rikitea,PF,2022-07-29 09:47:18,-23.1203,-134.9692,73.18,74,17,21.23
2,Saint-Leu,RE,2022-07-29 09:47:19,-21.15,55.2833,76.68,74,20,3.71
3,Barrow,US,2022-07-29 09:47:19,71.2906,-156.7887,33.55,94,100,9.19
4,Castro,BR,2022-07-29 09:47:20,-24.7911,-50.0119,56.64,90,79,8.63
5,Puerto Ayora,EC,2022-07-29 09:46:43,-0.7393,-90.3518,68.56,99,99,4.0
6,Albany,US,2022-07-29 09:44:04,42.6001,-73.9662,68.41,94,76,3.85
7,Fenoarivo,MG,2022-07-29 09:47:20,-18.933,47.4354,66.27,63,75,9.22
8,Okhotsk,RU,2022-07-29 09:47:21,59.3833,143.3,61.05,90,57,13.38
9,Talnakh,RU,2022-07-29 09:47:22,69.4865,88.3972,76.21,46,0,10.71
10,Sioux Lookout,CA,2022-07-29 09:47:22,50.1001,-91.917,57.27,88,100,8.05
11,Vaini,TO,2022-07-29 09:47:22,-21.2,-175.2,73.56,94,40,8.05
12,Petropavlovsk-Kamchatskiy,RU,2022-07-29 09:47:23,53.0452,158.6483,61.39,77,75,6.71
13,Meulaboh,ID,2022-07-29 09:47:23,4.1363,96.1285,77.95,85,99,0.69
14,Dire,ML,2022-07-29 09:47:24,12.2833,-10.9667,79.2,81,100,4.14
15,Provideniya,RU,2022-07-29 09:47:24,64.3833,-173.3,48.09,83,98,4.09
16,Ushuaia,AR,2022-07-29 09:43:48,-54.8,-68.3,37.06,87,100,11.5
17,Cape Town,ZA,2022-07-29 09:44:34,-33.9258,18.4232,57.9,85,75,16.11
18,Calabozo,VE,2022-07-29 09:47:25,8.9242,-67.4293,70.99,98,100,3.29
19,Hermanus,ZA,2022-07-29 09:47:25,-34.4187,19.2345,57.79,78,90,23.58
20,Arbazh,RU,2022-07-29 09:47:25,57.6804,48.3065,77.56,47,17,9.01
21,Punta Arenas,CL,2022-07-29 09:47:26,-53.15,-70.9167,39.31,81,20,31.07
22,Tirumullaivasal,IN,2022-07-29 09:47:26,11.2333,79.8333,88.07,61,98,11.5
23,Dikson,RU,2022-07-29 09:47:27,73.5069,80.5464,42.39,98,98,13.22
24,Arraial Do Cabo,BR,2022-07-29 09:47:27,-22.9661,-42.0278,67.86,83,0,6.91
25,Nanortalik,GL,2022-07-29 09:47:27,60.1432,-45.2371,45.5,81,92,11.74
26,Avarua,CK,2022-07-29 09:43:12,-21.2078,-159.775,75.25,83,75,14.97
27,Puerto Madryn,AR,2022-07-29 09:45:51,-42.7692,-65.0385,46.15,56,7,10.2
